Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,139654,-,-,-,37.89,-122.26,0,159,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,
2006,1,1,12,0,7.7,0.67,0.044,0.67,0,0,0,0,7,7.7,0,0,0,0,0.27,100,129.58,0.95,0.11,994,1.1,145,3.5,0,0,,,,,,,,,,,,,,,,
2006,1,1,12,30,7.8,0.67,0.044,0.67,0,0,0,0,7,7.8,0,0,0,0,0.27,99.98,123.67,0.95,0.11,993,1.2,147,3.9,0,0,,,,,,,,,,,,,,,,
2006,1,1,13,0,8,0.51,0.059,0.67,0,0,0,0,7,7.4,0,0,0,0,0.27,96.3,117.79,0.96,0.11,993,1.3,149,4.3,0,0,,,,,,,,,,,,,,,,
2006,1,1,13,30,8.1,0.51,0.059,0.67,0,0,0,0,7,7.4,0,0,0,0,0.27,95.65,111.98,0.97,0.11,993,1.6,150,4.3,0,0,,,,,,,,,,,,,,,,
2006,1,1,14,0,8.3,0.41,0.076,0.67,0,0,0,0,7,7.5,0,0,0,0,0.271,94.47,106.25,0.97,0.11,992,1.9,152,4.3,0,0,,,,,,,,,,,,,,,,
2006,1,1,14,30,8.8,0.41,0.076,0.67,0,0,0,0,6,7.5,0,0,0,0,0.27,91.33,100.65,0.97,0.11,992,2.1,153,4.8,0,0,,,,,,,,,,,,,,,,
2006,1,1,15,0,9.3,0.35,0.089,0.67,0,0,0,0,6,8.2,0,0,0,0,0.269,92.59,95.21,0.98,0.11,991,2.3,154,5.3,0,0,,,,,,,,,,,,,,,,
2006,1,1,15,30,9.8,0.35,0.089,0.67,0,0,0,7,6,8.2,0,0,7,0,0.268,89.54,89.49,0.98,0.11,991,2.4,156,6,0,0,,,,,,,,,,,,,,,,
2006,1,1,16,0,10.4,0.33,0.092,0.67,35,229,56,7,6,9.1,15,0,7,15,0.267,91.45,84.78,0.98,0.11,990,2.5,159,6.7,0,0,,,,,,,,,,,,,,,,
2006,1,1,16,30,10.9,0.33,0.092,0.67,54,419,126,0,6,9.1,13,0,0,13,0.266,88.37,80.12,0.98,0.11,989,2.5,162,7,0,0,,,,,,,,,,,,,,,,
2006,1,1,17,0,11.3,0.34,0.092,0.67,67,541,200,0,6,9.8,16,0,0,16,0.266,90.38,75.77,0.98,0.11,989,2.6,165,7.3,0.7773,0.5965,,,,,,,,,,,,,,,,
2006,1,1,17,30,11.6,0.34,0.092,0.67,77,622,271,0,9,9.8,49,0,0,50,0.265,88.52,71.81,0.98,0.11,988,2.7,167,7.4,2.5177,1.9449,,,,,,,,,,,,,,,,
2006,1,1,18,0,11.9,0.41,0.088,0.67,82,685,335,0,9,10.2,26,0,0,27,0.264,89.1,68.34,0.98,0.11,988,2.8,169,7.5,1.4024,1.0881,,,,,,,,,,,,,,,,
2006,1,1,18,30,12,0.41,0.088,0.67,86,722,387,0,9,10.1,48,0,0,48,0.262,88.43,65.43,0.98,0.11,987,2.9,172,7.3,2.552,1.9857,,,,,,,,,,,,,,,,
2006,1,1,19,0,12.1,0.35,0.095,0.67,93,735,425,0,9,10.6,81,1,0,81,0.261,90.37,63.18,0.98,0.11,987,3,175,7.2,4.3766,3.4114,,,,,,,,,,,,,,,,
2006,1,1,19,30,12.2,0.35,0.095,0.67,96,751,452,0,6,10.6,23,0,0,23,0.26,89.69,61.65,0.98,0.11,986,3,175,6.9,1.2553,0.9795,,,,,,,,,,,,,,,,
2006,1,1,20,0,12.3,0.32,0.094,0.67,97,761,467,0,9,10.9,67,0,0,67,0.259,91.24,60.9,0.98,0.11,985,2.9,174,6.6,3.6739,2.868,,,,,,,,,,,,,,,,
2006,1,1,20,30,12.3,0.32,0.094,0.67,97,761,466,0,6,10.9,152,8,0,157,0.259,91.24,60.96,0.98,0.11,985,2.9,173,6.5,8.6059,6.7177,,,,,,,,,,,,,,,,
2006,1,1,21,0,12.3,0.31,0.121,0.67,107,716,445,0,7,11.1,217,81,0,255,0.259,92.68,61.82,0.98,0.11,984,2.9,171,6.4,13.9026,10.8465,,,,,,,,,,,,,,,,
2006,1,1,21,30,12.4,0.31,0.121,0.67,104,697,415,0,7,11.1,155,20,0,164,0.26,92.08,63.46,0.98,0.11,984,2.9,174,6.2,8.8444,6.8924,,,,,,,,,,,,,,,,
2006,1,1,22,0,12.4,0.36,0.118,0.67,98,676,375,0,7,11.5,120,7,0,123,0.261,94.36,65.82,0.98,0.11,983,2.8,177,6,6.5202,5.0716,,,,,,,,,,,,,,,,
