Battery state of charge,Solar generation,Load demand,Grid import,Grid export,Unmet load,Revenue from exported energy,Cost of imported energy,Daily solar generation,Daily revenue,Daily import,Daily export,Daily cost,Daily unmet load (count),Daily load,Inverter status
98.78920955250138,0.0,0.6489836798592629,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6489836798592629,False
97.40024868955214,0.0,0.7444830225407886,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3934667024000515,False
96.28084570447751,0.0,0.6,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9934667024000516,False
95.16144271940288,0.0,0.6,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5934667024000517,False
94.04203973432826,0.0,0.6,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.193466702400052,False
92.92263674925363,0.0,0.6,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.793466702400052,False
91.803233764179,0.0,0.6,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.393466702400052,False
92.77510492991085,1.4139421013004247,0.6,0.0,0.1627884202600849,False,0.048836526078025466,0.0,1.4139421013004247,0.048836526078025466,0.0,0.1627884202600849,0.0,0.0,4.993466702400052,False
95.32021106131029,2.7315263850470286,0.6,0.0,0.42630527700940557,False,0.12789158310282167,0.0,4.145468486347453,0.17672810918084714,0.0,0.5890936972694905,0.0,0.0,5.593466702400051,False
98.18608167130758,3.0437008290524035,0.6435341931796773,0.0,0.48003332717454517,False,0.14400999815236354,0.0,7.189169315399857,0.3207381073332107,0.0,1.0691270244440356,0.0,0.0,6.237000895579729,False
100.0,3.0437008290524035,0.6990788740097862,0.0,1.1292966748186937,False,0.3387890024456081,0.0,10.23287014445226,0.6595271097788188,0.0,2.1984236992627295,0.0,0.0,6.936079769589515,False
100.0,3.0437008290524035,0.660698502678374,0.0,2.3830023263740294,False,0.7149006979122088,0.0,13.276570973504663,1.3744278076910277,0.0,4.581426025636759,0.0,0.0,7.596778272267889,False
100.0,3.0437008290524035,0.6,0.0,2.4437008290524034,False,0.733110248715721,0.0,16.320271802557066,2.1075380564067485,0.0,7.025126854689162,0.0,0.0,8.196778272267888,False
100.0,3.0437008290524035,0.6,0.0,2.4437008290524034,False,0.733110248715721,0.0,19.36397263160947,2.8406483051224694,0.0,9.468827683741566,0.0,0.0,8.796778272267888,False
100.0,3.0437008290524035,0.6769617769890408,0.0,2.3667390520633624,False,0.7100217156190087,0.0,22.407673460661876,3.550670020741478,0.0,11.835566735804928,0.0,0.0,9.473740049256929,False
100.0,3.0437008290524035,0.6,0.0,2.4437008290524034,False,0.733110248715721,0.0,25.45137428971428,4.283780269457199,0.0,14.279267564857332,0.0,0.0,10.073740049256928,False
100.0,2.731526385047031,0.6,0.0,2.1315263850470307,False,0.6394579155141092,0.0,28.18290067476131,4.923238184971308,0.0,16.410793949904363,0.0,0.0,10.673740049256928,False
100.0,1.4139421013004263,0.6,0.0,0.8139421013004263,False,0.24418263039012789,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,11.273740049256928,False
92.77396586512846,6.690310088468769e-16,3.8731542962911476,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,15.146894345548075,False
86.63496423128413,0.0,3.2905048757405617,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,18.437399221288636,False
85.39554103634688,0.0,0.6643308324863604,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,19.101730053774997,False
84.27613805127226,0.0,0.6,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,19.701730053774998,False
83.13617700433144,0.0,0.611019121160274,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,20.312749174935274,False
82.01677401925681,0.0,0.6,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,20.912749174935275,False
80.802698487878,0.0,0.6507444848190413,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,21.563493659754315,False
79.68329550280338,0.0,0.6,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,22.163493659754316,False
78.56389251772875,0.0,0.6,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,22.763493659754317,False
77.44448953265412,0.0,0.6,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,23.36349365975432,False
76.29481251157664,0.0,0.6162268832975278,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,23.979720543051847,False
74.78762390487275,0.0,0.8078530931932896,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,24.78757363624514,False
73.63463336236309,0.0,0.6180029307851744,0.0,0.0,False,0.0,0.0,29.596842776061735,5.167420815361436,0.0,17.22473605120479,0.0,0.0,25.405576567030312,False
